Company,Categories,Stage,HQ,Heard on the show,Tech to Watch,Website,What they do
Adaptive,Financial / Payments,Series A,,,,,"Back-office financial services platform, an a16z portfolio company, built for contractors."
Agave,Financial / Payments; AI / Data Infrastructure,Series A,"San Francisco, CA",,,https://useagave.com,"AI platform for construction financials that connects 14+ ERP and project-management systems to automate AP invoice coding, expense management, and vendor compliance for contractors."
Aitenders Technologies,Preconstruction & Estimating; Project Management; AI / Data Infrastructure,Public,"Saint-Étienne, France",,,https://aitenders.com,"AI platform for tender response and contract management that tracks every requirement, clause and commitment from bid through project delivery."
Alice Technologies,Scheduling,Series B,,,,,AI-driven construction schedule-optimization software that generates and compares alternative project schedules.
Alloovium,AI / Data Infrastructure; Project Management,Pre-seed,"Brisbane, QLD, Australia (also reported as San Francisco, CA)",,,,"Document intelligence layer for construction that reads every contract, spec, drawing, compliance record and conversation on a project and answers questions with a citation back to the exact source sentence."
Andrew Rener stealth startup (name TBD),Field Operations,Pre-seed,,,,,"In-development construction workflow product for subcontractors (underserved vs GCs), embedding experiential knowledge from subject-matter experts"
Arcol,Design / BIM / VDC,Seed,"New York, NY",,,https://arcol.io,"Browser-based collaborative 'BIM 2.0' for early-stage design, feasibility and presentations; public launch June 2025"
Attentive.ai,Preconstruction & Estimating,Series B,"Noida, India (US ops)",,,https://attentive.ai,Beam AI takeoff and estimating platform expanding into full preconstruction automation
Augmenta,Design / BIM / VDC,Seed,,,,,AI-driven generative design automation for electrical raceway/systems design.
Automated Architecture,Robotics & Hardware,Unknown,,,,,Robotics company developing single-shot nailing robots for timber-frame construction.
Beck Technologies,Preconstruction & Estimating,Unknown,,,,,Maker of Destiny (formerly Destiny Profiler) conceptual estimating software for preconstruction teams.
Beck Technology,Preconstruction & Estimating,Unknown,,,,,Software arm of The Beck Group making the Destiny estimating/preconstruction platform used by GCs.
Bedrock Robotics,Robotics & Hardware,Series B,"San Francisco, CA",,,https://www.bedrockrobotics.com,"Retrofits excavators, dozers and loaders with autonomy so contractors can run self-operating heavy equipment fleets"
Belidor,Preconstruction & Estimating; AI / Data Infrastructure,Unknown,,,,,AI-powered bid-leveling and scope-generation software for preconstruction teams.
BidScript,Preconstruction & Estimating,Pre-seed,"Manchester, UK",,,https://www.bidscript.co.uk,"AI-native tender management platform to find, qualify, write, and submit bids for construction and engineering contracts."
Bild AI,Preconstruction & Estimating,Seed,"San Francisco, CA",,,https://bild.ai,"YC-backed AI that reads blueprints to extract quantities, cost estimates and compliance issues, starting with Division 8 doors/frames/hardware"
Billdr,Project Management,Unknown,,,,,"Vertical SaaS back-office platform for SMB general contractors, pivoted from a home-renovation marketplace."
Birdsview (Burview),Reality Capture,Unknown,,,,,Norwegian startup using enhanced ground-penetrating radar and 3D point-cloud algorithms to non-destructively scan existing concrete reinforcement.
Bitchat,Field Operations,Unknown,,,yes,https://bitchat.free,Peer-to-peer encrypted messaging over Bluetooth mesh for offline jobsite comms
Bobyard,Preconstruction & Estimating; AI / Data Infrastructure,Series A,,,,,"AI takeoff startup automating construction quantity takeoffs, originally built around landscape takeoff."
Boon,Preconstruction & Estimating; AI / Data Infrastructure,Unknown,,,,,AI startup that reads construction drawings and automates preconstruction estimating end-to-end.
Breadcrumb,Safety,Unknown,,,,,"Construction safety/compliance app digitizing site orientations, permits, manpower tracking, and pre-task safety plans for GCs."
Brickanta,Preconstruction & Estimating; Supply Chain & Procurement,Seed,"Stockholm, Sweden",,,https://www.brickanta.com,"YC-backed agentic AI for contractor preconstruction: bid analysis, cost estimation, procurement"
Bridgeline,Preconstruction & Estimating,Seed,,,,,"Startup automating bid-leveling data transfer for general contractors, backed by University of Chicago."
Bridgit,Workforce / Training,Series B,"Kitchener, ON, Canada",,yes,https://gobridgit.com,"Workforce intelligence for construction labor planning, management and forecasting"
Build (infrastructure AI),Preconstruction & Estimating; AI / Data Infrastructure,Seed,"San Francisco, CA",,,,"Multi-agent AI platform accelerating infrastructure project workflows, site sourcing, due diligence, power assessment, and early design for data centers, energy, and industrial facilities."
Build Factory,Supply Chain & Procurement; Project Management,Unknown,,,,,Marketplace connecting underutilized MEP prefab shops with fabrication demand across regions.
BuildCrew,Design / BIM / VDC; AI / Data Infrastructure,Seed,,,,,Early-stage AI-for-construction-drawings startup backed by Vinod Khosla.
Builder,Project Management; Financial / Payments,Unknown,,,,,"Vertical SaaS operating system for small and mid-size general contractors, covering back-office and project workflows."
Buildforce,Workforce / Training; Field Operations,Series A,"Austin, TX (also Houston)",,,https://www.buildforce.com,"Tech-enabled staffing platform that connects pre-vetted electricians with electrical contractors on commercial and industrial construction projects, via a worker mobile app and a contractor web app."
Building Catalyst,Preconstruction & Estimating; Owner / Facilities,Unknown,,,,,"Systems-thinking platform that predicts space program, design massing, schedule, and cost from an owner's business case."
BuildMentor,Workforce / Training,Pre-seed,,,,,"Knowledge-sharing and mentorship platform for construction, Tinder-style mentor/mentee matching plus a searchable 'Experience Hub' of lessons-learned cards capturing retiring experts' knowledge"
BuildOps,Project Management; Field Operations,Series C+,,,,,Unicorn-valued operating system software platform for commercial MEP trade contractors.
Buildots,Reality Capture; AI / Data Infrastructure,Growth / PE,,,,,Reality-capture and AI progress-tracking company (acquired Genda to combine visual progress data with workforce location data).
Buildr,Project Management; Preconstruction & Estimating,Unknown,,,,,All-in-one CRM and preconstruction platform for general contractors.
Buildroid,Robotics & Hardware; AI / Data Infrastructure,Pre-seed,,,,,Simulation-first platform helping GCs model projects and deploy the right construction robotics solutions.
BuildVision,Supply Chain & Procurement,Unknown,,,,https://buildvision.io,Network/marketplace connecting MEP manufacturers and OEMs with contractors for equipment purchasing and financing
BuildWitt,Workforce / Training,Unknown,,,yes,https://buildwitt.com,"Mobile microtraining for heavy civil, utilities and mining crews"
Built Technologies,Financial / Payments,Growth / PE,,,,,"Construction lending and draw-management/payments platform for lenders, owners, and GCs, using agentic AI for draw processing."
Caliperd,Preconstruction & Estimating,Unknown,Australia,,,,"AI concrete estimating tool that calculates volumes, reinforcement and formwork quantities directly from project schedules."
Capture,Sustainability; Robotics & Hardware,Unknown,,,,,Melbourne startup retrofitting diesel generators with carbon-capture hardware that converts CO2 into calcium carbonate for use in concrete.
Cascade,Preconstruction & Estimating; AI / Data Infrastructure,Seed,"New York, NY",,,https://usecascade.ai,"AI pursuit platform that reads bond filings, permits, capital plans and public meeting minutes to surface construction projects before they go to bid, then scores each against a firm's track record."
CIV Robotics,Robotics & Hardware,Unknown,,,,,"Robotics company automating construction layout marking, backed by Trimble and Bobcat."
Clearstory,Financial / Payments,Unknown,"San Francisco, CA",yes,yes,https://clearstory.build,"Change order platform: T&M ticket capture, AI categorization and real-time cost exposure"
ClueWorth,Financial / Payments; Sustainability,Series A,,,,,"Financing platform for residential solar, battery, and heat-pump installations across Europe via local installer networks."
